Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2015-19,UHF42,101,4,Kingsbridge - Riverdale,13257,15.08
2015-19,UHF42,102,4,Northeast Bronx,30712,15.29
2015-19,UHF42,103,4,Fordham - Bronx Pk,76345,29.36
2015-19,UHF42,104,4,Pelham - Throgs Neck,64115,21.61
2015-19,UHF42,105,4,Crotona -Tremont,78876,36.96
2015-19,UHF42,106,4,High Bridge - Morrisania,78362,36.6
2015-19,UHF42,107,4,Hunts Point - Mott Haven,53312,38.65
2015-19,UHF42,201,4,Greenpoint,29626,21.25
2015-19,UHF42,202,4,Downtown - Heights - Slope,35828,14.14
2015-19,UHF42,203,4,Bedford Stuyvesant - Crown Heights,78228,23.6
2015-19,UHF42,204,4,East New York,51563,27.01
2015-19,UHF42,205,4,Sunset Park,30082,25.78
2015-19,UHF42,206,4,Borough Park,77144,23.94
2015-19,UHF42,207,4,East Flatbush - Flatbush,43789,14.86
2015-19,UHF42,208,4,Canarsie - Flatlands,22713,11.02
2015-19,UHF42,209,4,Bensonhurst - Bay Ridge,27692,13.61
2015-19,UHF42,210,4,Coney Island - Sheepshead Bay,52396,18.27
2015-19,UHF42,211,4,Williamsburg - Bushwick,62570,28.51
2015-19,UHF42,301,4,Washington Heights,52857,19.99
2015-19,UHF42,302,4,Central Harlem - Morningside Heights,44232,25.23
2015-19,UHF42,303,4,East Harlem,37153,34.11
2015-19,UHF42,304,4,Upper West Side,22201,10.46
2015-19,UHF42,305,4,Upper East Side,11673,5.5
2015-19,UHF42,306,4,Chelsea - Clinton,18987,12.28
2015-19,UHF42,307,4,Gramercy Park - Murray Hill,10090,7.68
2015-19,UHF42,308,4,Greenwich Village - SoHo,7076,8.95
2015-19,UHF42,309,4,Union Square - Lower East Side,37986,21.54
2015-19,UHF42,310,4,Lower Manhattan,5850,9.86
2015-19,UHF42,401,4,Long Island City - Astoria,24983,12.38
2015-19,UHF42,402,4,West Queens,61826,13.95
2015-19,UHF42,403,4,Flushing - Clearview,36942,14.76
2015-19,UHF42,404,4,Bayside - Little Neck,6419,7.28
2015-19,UHF42,405,4,Ridgewood - Forest Hills,26376,10.1
2015-19,UHF42,406,4,Fresh Meadows,12943,13.07
2015-19,UHF42,407,4,Southwest Queens,33167,11.87
2015-19,UHF42,408,4,Jamaica,36892,12.09
2015-19,UHF42,409,4,Southeast Queens,16232,6
2015-19,UHF42,410,4,Rockaways,22505,18.13
2015-19,UHF42,501,4,Port Richmond,13192,19.14
2015-19,UHF42,502,4,Stapleton - St. George,20571,17.38
2015-19,UHF42,503,4,Willowbrook,8097,9.13
2015-19,UHF42,504,4,South Beach - Tottenville,12761,6.62
2015-19,Borough,1,1,Bronx,392172,28.01
2015-19,Borough,2,1,Brooklyn,511631,19.95
2015-19,Borough,3,1,Manhattan,250913,15.83
2015-19,Borough,4,1,Queens,276447,12.23
2015-19,Borough,5,1,Staten Island,54621,11.65
2015-19,Citywide,1,0,New York City,1485784,17.95
2014-18,UHF42,101,4,Kingsbridge - Riverdale,13747,15.69
2014-18,UHF42,102,4,Northeast Bronx,31154,15.57
2014-18,UHF42,103,4,Fordham - Bronx Pk,81969,31.43
2014-18,UHF42,104,4,Pelham - Throgs Neck,66307,22.12
2014-18,UHF42,105,4,Crotona -Tremont,81339,38.61
2014-18,UHF42,106,4,High Bridge - Morrisania,80867,37.48
2014-18,UHF42,107,4,Hunts Point - Mott Haven,55127,39.73
2014-18,UHF42,201,4,Greenpoint,30641,22.11
2014-18,UHF42,202,4,Downtown - Heights - Slope,37383,14.83
2014-18,UHF42,203,4,Bedford Stuyvesant - Crown Heights,80598,24.7
2014-18,UHF42,204,4,East New York,51618,27.27
2014-18,UHF42,205,4,Sunset Park,33453,27.75
2014-18,UHF42,206,4,Borough Park,84218,25.61
2014-18,UHF42,207,4,East Flatbush - Flatbush,48661,16.26
2014-18,UHF42,208,4,Canarsie - Flatlands,24102,11.58
2014-18,UHF42,209,4,Bensonhurst - Bay Ridge,31311,15.3
2014-18,UHF42,210,4,Coney Island - Sheepshead Bay,56527,19.61
2014-18,UHF42,211,4,Williamsburg - Bushwick,66110,30.02
2014-18,UHF42,301,4,Washington Heights,57444,21.49
2014-18,UHF42,302,4,Central Harlem - Morningside Heights,47533,27.14
2014-18,UHF42,303,4,East Harlem,38590,34.56
2014-18,UHF42,304,4,Upper West Side,22623,10.62
2014-18,UHF42,305,4,Upper East Side,12445,5.84
2014-18,UHF42,306,4,Chelsea - Clinton,19488,12.81
2014-18,UHF42,307,4,Gramercy Park - Murray Hill,10892,8.56
2014-18,UHF42,308,4,Greenwich Village - SoHo,7612,9.58
2014-18,UHF42,309,4,Union Square - Lower East Side,37937,21.39
2014-18,UHF42,310,4,Lower Manhattan,5866,10.07
2014-18,UHF42,401,4,Long Island City - Astoria,27745,13.61
2014-18,UHF42,402,4,West Queens,66138,14.78
2014-18,UHF42,403,4,Flushing - Clearview,39321,15.52
2014-18,UHF42,404,4,Bayside - Little Neck,6875,7.72
2014-18,UHF42,405,4,Ridgewood - Forest Hills,27498,10.6
2014-18,UHF42,406,4,Fresh Meadows,12878,12.85
2014-18,UHF42,407,4,Southwest Queens,36703,12.92
2014-18,UHF42,408,4,Jamaica,39543,12.94
2014-18,UHF42,409,4,Southeast Queens,17402,6.43
2014-18,UHF42,410,4,Rockaways,22898,18.86
