Time,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2020,UHF42,101,4,Kingsbridge - Riverdale,"2.5* (1.0,6.0)",,"2.7* (1.1,6.5)"
2020,UHF42,102,4,Northeast Bronx,-,,-
2020,UHF42,103,4,Fordham - Bronx Pk,"4.7* (2.3,9.4)",,"4.5* (2.2,9.0)"
2020,UHF42,104,4,Pelham - Throgs Neck,"5.7* (2.6,12.2)",,"5.6* (2.5,12.3)"
2020,UHF42,105,4,Crotona -Tremont,"6 (3.6,9.9)",,"5.2 (3.1,8.5)"
2020,UHF42,106,4,High Bridge - Morrisania,"6 (3.6,9.9)",,"5.2 (3.1,8.5)"
2020,UHF42,107,4,Hunts Point - Mott Haven,"6 (3.6,9.9)",,"5.2 (3.1,8.5)"
2020,UHF42,201,4,Greenpoint,"1.2* (0.4,3.7)",,"1.3* (0.5,3.6)"
2020,UHF42,202,4,Downtown - Heights - Slope,"2.4* (1.1,4.9)",,"2.5* (1.2,5.4)"
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"6.6* (3.6,11.7)",,"6.1 (3.4,10.5)"
2020,UHF42,204,4,East New York,"3.9* (1.5,9.9)",,-
2020,UHF42,205,4,Sunset Park,-,,-
2020,UHF42,206,4,Borough Park,"3.4* (1.7,6.8)",,"3.4* (1.7,6.6)"
2020,UHF42,207,4,East Flatbush - Flatbush,"2.4* (1.1,5.1)",,"2.3* (1.0,4.8)"
2020,UHF42,208,4,Canarsie - Flatlands,"8* (3.0,19.4)",,"7.3* (3.0,16.6)"
2020,UHF42,209,4,Bensonhurst - Bay Ridge,"2.4* (0.9,6.0)",,"2.1* (0.8,5.3)"
2020,UHF42,210,4,Coney Island - Sheepshead Bay,"3.6* (1.6,8.1)",,"3.6* (1.7,7.5)"
2020,UHF42,211,4,Williamsburg - Bushwick,"5.5* (2.5,11.8)",,"5.6* (2.4,12.8)"
2020,UHF42,301,4,Washington Heights,"6.1* (2.6,13.6)",,"6.1* (2.5,14.3)"
2020,UHF42,302,4,Central Harlem - Morningside Heights,"7.9* (4.0,15.0)",,"7.5* (3.7,14.4)"
2020,UHF42,303,4,East Harlem,"12.6 (7.3,21.0)",,"12.1* (6.4,21.6)"
2020,UHF42,304,4,Upper West Side,"3.1* (1.3,7.3)",,"3.3* (1.3,7.7)"
2020,UHF42,305,4,Upper East Side,"2.3* (1.0,5.2)",,"2.3* (1.0,5.1)"
2020,UHF42,306,4,Chelsea - Clinton,"2* (0.8,5.0)",,"1.9* (0.7,4.7)"
2020,UHF42,307,4,Gramercy Park - Murray Hill,"2.3* (1.0,5.2)",,"2.3* (1.0,5.1)"
2020,UHF42,308,4,Greenwich Village - SoHo,"2* (0.8,5.0)",,"1.9* (0.7,4.7)"
2020,UHF42,309,4,Union Square - Lower East Side,"3.9* (2.2,7.0)",,"3.7* (2.0,6.8)"
2020,UHF42,310,4,Lower Manhattan,"3.9* (2.2,7.0)",,"3.7* (2.0,6.8)"
2020,UHF42,401,4,Long Island City - Astoria,"3.5* (1.3,8.6)",,-
2020,UHF42,402,4,West Queens,"0.9* (0.4,2.0)",,"1* (0.4,2.2)"
2020,UHF42,403,4,Flushing - Clearview,-,,-
