Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2011-2015,Borough,1,1,Bronx,15.9,24,19.2,260.8,124.6,136.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,2,1,Brooklyn,16.3,23.1,19.3,500.2,241.6,258.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,3,1,Manhattan,18,28.1,22.5,401.2,182.2,219,Non-Hodgkin's Lymphomas
2011-2015,Borough,4,1,Queens,15.5,23.3,18.9,473.8,219.6,254.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,5,1,Staten Island,20.5,28.9,24.1,128.4,60.6,67.8,Non-Hodgkin's Lymphomas
2011-2015,Citywide,1,0,New York City,16.6,24.7,20.1,1764.4,828.6,935.8,Non-Hodgkin's Lymphomas
2009-2013,Borough,1,1,Bronx,16.7,24.7,20.1,263.6,126.4,137.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,2,1,Brooklyn,16.8,23.3,19.6,491.6,243,248.6,Non-Hodgkin's Lymphomas
2009-2013,Borough,3,1,Manhattan,18.2,28.2,22.6,392,179,213,Non-Hodgkin's Lymphomas
2009-2013,Borough,4,1,Queens,15.9,23.2,19.1,464.6,219.4,245.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,5,1,Staten Island,19.8,26.4,22.6,116,56.4,59.6,Non-Hodgkin's Lymphomas
2009-2013,Citywide,1,0,New York City,17,24.7,20.3,1727.8,824.2,903.6,Non-Hodgkin's Lymphomas
2008-2012,Borough,1,1,Bronx,16.4,25.2,20.2,260.4,121.6,138.8,Non-Hodgkin's Lymphomas
2008-2012,Borough,2,1,Brooklyn,16.7,23.7,19.7,487.6,238.4,249.2,Non-Hodgkin's Lymphomas
2008-2012,Borough,3,1,Manhattan,18.3,28.4,22.7,391,178.4,212.6,Non-Hodgkin's Lymphomas
2008-2012,Borough,4,1,Queens,16,22.4,18.8,450.8,217.8,233,Non-Hodgkin's Lymphomas
2008-2012,Borough,5,1,Staten Island,20.7,26.6,23.1,116.2,57.8,58.4,Non-Hodgkin's Lymphomas
2008-2012,Citywide,1,0,New York City,17,24.8,20.4,1706,814,892,Non-Hodgkin's Lymphomas
2007-2011,UHF42,101,4,Kingsbridge - Riverdale,17.7,22.7,20.2,24.6,14,10.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,102,4,Northeast Bronx,13.7,19.4,16.1,35,18,17,Non-Hodgkin's Lymphomas
2007-2011,UHF42,103,4,Fordham - Bronx Pk,17,25.1,20.8,44.2,20.2,24,Non-Hodgkin's Lymphomas
2007-2011,UHF42,104,4,Pelham - Throgs Neck,16.2,26,20.5,63.2,29.4,33.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,105,4,Crotona -Tremont,17.6,24.6,20.8,33.2,15.6,17.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,106,4,High Bridge - Morrisania,18,29.1,22.4,36.6,17,19.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,107,4,Hunts Point - Mott Haven,13.9,22.4,18.2,19.8,8,11.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,201,4,Greenpoint,17.4,15.2,16.8,19.8,11,8.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,202,4,Downtown - Heights - Slope,12.6,22.7,17.2,38.6,16,22.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,14.1,21.5,17.4,51.4,24.8,26.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,204,4,East New York,13.7,25.3,18.5,28.8,12.4,16.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,205,4,Sunset Park,13.6,21.2,16.9,18.4,8,10.4,Non-Hodgkin's Lymphomas
