year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,00A000,50.1,50,0,0,10.81,No,0,0,,,0.339622647,Y,N,NEITHER,95,14.3
2019,00B000,47.8,50.6,0,0,5.92,No,0,0,,,0.421052635,Y,N,NEITHER,100,25
2019,10303,90.4,80.3,0,0,0.91,Yes,0,0,799633,6280.02,0.571428597,Y,Y,NEITHER,7,50
2019,10304,59.7,76.7,14.46,2004,0.74,Yes,0,0,3210323,5306.32,0.270270258,Y,N,NEITHER,42,9.1
2019,10308,62.5,84.2,20.78,2001,0.69,Yes,0,13.051,3440375,5612.36,0.25,Y,N,NEITHER,37,0
2019,10310,28.9,55.7,18.37,2003,0.83,No,13.1926,19.789,4262847,5623.81,0.162790701,Y,N,HIGH,62,20
2019,10312,69.3,72.9,13.51,2007,1.34,No,2.7248,0,4226012,5757.51,0.3125,Y,N,LOW,51,6.7
2019,10320,68.2,75.7,21.64,2000,1.04,Yes,0,13.514,2602382,7033.47,0.37931034,Y,N,NEITHER,35,16.7
2019,10324,68.1,64.5,6.44,2000,1.12,No,14.2737,0.84,5574212,4680.28,0.1875,Y,Y,LOW,71,15.8
2019,10326,37.7,70.7,12.89,1999,0.73,Yes,0,15.203,3428076,5790.67,0.25,Y,N,HIGH,46,23.1
2019,10328,68.1,88,15.88,2001,1.06,No,0,0,3136054,5850.85,0.085714288,Y,N,LOW,35,12.5
2019,10340,59.4,88.6,17.08,2000,1.51,No,0,1.376,3747458,5154.69,0.326086968,Y,N,NEITHER,45,7.7
2019,10346,45.6,67.6,17.16,2002,0.85,Yes,5.305,0,2382182,6318.79,0.111111112,Y,N,NEITHER,29,9.1
2019,10347,56.7,73.3,21.23,1999,0.83,Yes,0,8.21,3777924,6203.49,0.152173907,Y,N,NEITHER,45,13.3
2019,10348,51.3,75.3,11.33,2000,0.55,Yes,12.2616,1.362,4708778,6415.23,0.15384616,Y,Y,HIGH,56,12.5
2019,10350,33.7,52.3,11.5,2002,0.88,Yes,27.1041,15.692,3791308,5408.43,0.046511628,Y,N,HIGH,56,11.8
2019,10351,39.5,84.2,18.77,2001,0.78,Yes,2.1645,10.823,3080697,6668.18,0.277777791,Y,N,HIGH,36,26.7
2019,10353,69.9,100,10.52,2001,0.75,No,7.3964,25.148,3633655,5375.23,0.409090906,Y,N,NEITHER,45,82.4
2019,10354,34.5,78.1,20.17,1998,0.91,Yes,0,3.221,3495334,5628.56,0.266666681,Y,N,HIGH,47,15.4
2019,10357,39.8,71.5,14.24,2002,0.58,No,8.3333,0,2953228,6152.56,0.102564104,Y,N,HIGH,44,33.3
2019,10358,34.9,72.7,17.34,2004,0.92,Yes,0,0,3356414,5688.84,0.108695649,Y,N,HIGH,52,6.7
2019,10360,53.8,81.7,10.73,1997,0.83,No,15.0215,6.438,5554495,5959.76,0.516129017,Y,Y,HIGH,69,50
2019,10362,68.5,56.8,30.93,1998,1.57,No,7.6775,1.919,3127556,6002.99,0.078947365,Y,N,NEITHER,40,40
2019,10364,45.3,80.4,22.3,1997,0.63,Yes,2.8329,0,2501815,7087.3,0.45161289,Y,Y,HIGH,34,13.3
2019,10372,50.2,67.2,23.01,2002,0.76,Yes,3.1746,0,2016660,6402.1,0.173913047,Y,N,HIGH,26,18.2
